leff,1016CHY,1017 (CHY),1015 NG (C) Y,105CH,(CBB),105 ONG (CBB),1010CRU,1011 (CRY),
10,3.91571,6.459,6.10066,2.97111,7.92646,1.63821,1.46062,2.41424,1.32021
13.5,3.94016,4.964,3.45057,1.80787,4.02548,1.08076,0.10616,1.12543,1.14705
18,3.41793,3.388,1.86047,0.98915,1.39824,0.70758,0.27136,0.61249,0.96432
23.5,3.2077,2.475,0.99994,0.69994,0.77641,0.46836,0.19546,0.37336,0.79265
30.5,1.8417,1.046,0.52911,0.49552,0.40513,0.30773,0.12567,0.17285,0.63258
40,1.11424,0.5023,0.26011,0.34141,0.23748,0.19186,0.06377,0.08832,0.47585
52.5,0.79511,0.273,0.13473,0.24317,0.1348,0.12306,0.06125,0.04923,0.35356
68.5,0.55403,0.1455,0.06832,0.18915,0.079,0.07731,0.03724,0.02693,0.25163
89.5,0.44936,0.0903,0.03437,0.1332,0.04081,0.04802,0.02828,0.01556,0.17274
117,0.39211,0.0607,0.01717,0.10622,0.02576,0.02951,0.02624,0.01029,0.11489
152.5,0.32496,0.039,0.00859,0.08248,0.0153,0.01802,0.02055,0.00625,0.0748
198,0.24493,0.0225,0.00431,0.058,0.00789,0.01092,0.01408,0.00346,0.04801
257.5,0.20862,0.0147,0.00213,0.04301,0.0044,0.00648,0.01052,0.0021,0.03023
335.5,0.18025,0.0098,0.00121,0.03231,0.00247,0.00376,0.0086,0.00131,0.01868
436.5,0.15264,0.0064,0.00092,0.0255,0.00144,0.00214,0.00696,0.00082,0.01138
567.5,0.13614,0.0044,0.00055,0.02028,0.00083,0.00119,0.00499,0.00053,0.0068
738.5,0.12221,0.003,0.00031,0.0152,0.00043,0.00065,0.00351,0.00033,0.00396
959.5,0.11573,0.0022,0.00019,0.01152,0.00022,0.00034,0.0027,0.00021,0.00224
1247.5,0.12589,0.002,0.00011,0.00898,0.00013,0.00018,0.00187,0.00017,0.00122
